"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273","test_TC299_verificar_grupo_eliminado_no_existe","tests.customer.groups","Fri Nov 07 21:58:10 UTC 2025","passed","Fri Nov 07 21:58:10 UTC 2025","","test_DELETE_CustomerGroup","",""
"","121","test_TC399_actualizacion_tax_category_sin_autenticacion","tests.configuration.tax_categories","Fri Nov 07 21:57:44 UTC 2025","passed","Fri Nov 07 21:57:44 UTC 2025","","test_PUT_TaxCategory","",""
"","125","test_TC296_eliminar_grupo_token_invalido","tests.customer.groups","Fri Nov 07 21:58:09 UTC 2025","passed","Fri Nov 07 21:58:10 UTC 2025","","test_DELETE_CustomerGroup","",""
"","296","test_TC363_398_No_permitir_campos_vacios[invalid_payload1-None-422]","tests.configuration.tax_categories","Fri Nov 07 21:57:39 UTC 2025","skipped","Fri Nov 07 21:57:39 UTC 2025","","test_PUT_TaxCategory","",""
"","149","test_TC234_actualizar_con_nombres_invalidos_parametrizado[-nombre vac\xedo-True]","tests.configuration.tax_rates","Fri Nov 07 21:58:01 UTC 2025","passed","Fri Nov 07 21:58:01 UTC 2025","","test_PUT_TaxRates","",""
"","126","test_TC24_creacion_con_token_invalido","tests.configuration.tax_categories","Fri Nov 07 21:57:34 UTC 2025","passed","Fri Nov 07 21:57:34 UTC 2025","","test_POST_TaxCategory","",""
"","153","test_TC401_actualizacion_campo_unico_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:44 UTC 2025","passed","Fri Nov 07 21:57:45 UTC 2025","","test_PUT_TaxCategory","",""
"","154","test_TC153_crear_grupo_clientes_datos_validos","tests.customer.groups","Fri Nov 07 21:58:16 UTC 2025","passed","Fri Nov 07 21:58:16 UTC 2025","","test_POST_CustomerGroup","",""
"","647","test_TC78_eliminar_TaxCategory_respuesta_sin_cuerpo","tests.configuration.tax_categories","Fri Nov 07 21:57:25 UTC 2025","passed","Fri Nov 07 21:57:25 UTC 2025","","test_DELETE_TaxCategory","",""
"","153","test_TC235_actualizar_con_amounts_invalidos[5.0-500%]","tests.configuration.tax_rates","Fri Nov 07 21:58:07 UTC 2025","passed","Fri Nov 07 21:58:07 UTC 2025","","test_PUT_TaxRates","",""
"","0","test_TC197_crear_tax_rate_con_amount_invalido[150%-400-BUG: La app permite strings con s\xedmbolos]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","skipped","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","153","test_TC235_actualizar_con_amounts_invalidos[1.1-110%]","tests.configuration.tax_rates","Fri Nov 07 21:58:06 UTC 2025","passed","Fri Nov 07 21:58:06 UTC 2025","","test_PUT_TaxRates","",""
"","140","test_TC157_crear_grupo_clientes_sin_nombre","tests.customer.groups","Fri Nov 07 21:58:17 UTC 2025","passed","Fri Nov 07 21:58:17 UTC 2025","","test_POST_CustomerGroup","",""
"","166","test_TC234_actualizar_con_nombres_invalidos_parametrizado[AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA-nombre extremadamente largo-True]","tests.configuration.tax_rates","Fri Nov 07 21:58:02 UTC 2025","passed","Fri Nov 07 21:58:02 UTC 2025","","test_PUT_TaxRates","",""
"","147","test_TC192_verificar_parametros_itemsPerPage_malformados","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","skipped","Fri Nov 07 21:58:16 UTC 2025","","test_GET_Customer_Group","",""
"","144","test_TC200_crear_tax_rate_sin_codigo","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","passed","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","158","test_TC233_actualizar_con_nombre_demasiado_largo","tests.configuration.tax_rates","Fri Nov 07 21:58:00 UTC 2025","passed","Fri Nov 07 21:58:00 UTC 2025","","test_PUT_TaxRates","",""
"","152","test_TC18_verificar_encabezados_respuesta","tests.configuration.tax_categories","Fri Nov 07 21:57:34 UTC 2025","passed","Fri Nov 07 21:57:34 UTC 2025","","test_POST_TaxCategory","",""
"","147","test_crear_grupo_clientes_caracteres_especiales_en_nombre[Emojis-Nombre \U0001f60a\U0001f31f-True]","tests.customer.groups","Fri Nov 07 21:58:21 UTC 2025","skipped","Fri Nov 07 21:58:21 UTC 2025","","test_POST_CustomerGroup","",""
"","562","test_TC225_eliminar_varios_tax_rates","tests.configuration.tax_rates","Fri Nov 07 21:57:48 UTC 2025","passed","Fri Nov 07 21:57:48 UTC 2025","","test_DELETE_TaxRates","",""
"","137","test_TC199_crear_tax_rate_con_includedInPrice_invalido[2-400-None]","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","passed","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","157","test_TC234_actualizar_con_nombres_invalidos_parametrizado[Tax`~!@#$%^&*()_+={}[]|\\:;""'<>,.?/Rate-todos los s\xedmbolos-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:04 UTC 2025","passed","Fri Nov 07 21:58:04 UTC 2025","","test_PUT_TaxRates","",""
"","162","test_TC234_actualizar_con_nombres_invalidos_parametrizado[ Tax Rate -espacios al inicio y final-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:05 UTC 2025","passed","Fri Nov 07 21:58:05 UTC 2025","","test_PUT_TaxRates","",""
"","144","test_TC215_verificar_codigo_respuesta_200_OK","tests.configuration.tax_rates","Fri Nov 07 21:57:52 UTC 2025","passed","Fri Nov 07 21:57:52 UTC 2025","","test_GET_TaxRates","",""
"","154","test_TC221_tax_category_nombre_espacio_en_blanco[ \n ]","tests.configuration.tax_categories","Fri Nov 07 21:57:36 UTC 2025","skipped","Fri Nov 07 21:57:36 UTC 2025","","test_POST_TaxCategory","",""
"","152","test_TC221_tax_category_nombre_espacio_en_blanco[\n\n]","tests.configuration.tax_categories","Fri Nov 07 21:57:36 UTC 2025","skipped","Fri Nov 07 21:57:36 UTC 2025","","test_POST_TaxCategory","",""
"","1","test_TC199_crear_tax_rate_con_includedInPrice_invalido[None-400-BUG: La app permite valores nulos]","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","skipped","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","154","test_TC271_actualizar_grupo_clientes_valido","tests.customer.groups","Fri Nov 07 21:58:22 UTC 2025","passed","Fri Nov 07 21:58:22 UTC 2025","","test_PUT_CustomerGroup","",""
"","0","test_TC197_crear_tax_rate_con_amount_invalido[-400-BUG: La app permite espacios vac\xedos]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","skipped","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","145","test_TC190_obtener_grupo_codigo_inexistente","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","passed","Fri Nov 07 21:58:15 UTC 2025","","test_GET_Customer_Group","",""
"","169","test_TC232_actualizar_includedInPrice_a_valor_valido","tests.configuration.tax_rates","Fri Nov 07 21:58:00 UTC 2025","passed","Fri Nov 07 21:58:00 UTC 2025","","test_PUT_TaxRates","",""
"","143","test_TC221_tax_category_nombre_espacio_en_blanco[\t]","tests.configuration.tax_categories","Fri Nov 07 21:57:36 UTC 2025","skipped","Fri Nov 07 21:57:37 UTC 2025","","test_POST_TaxCategory","",""
"","147","test_TC242_get_tax_categories_valida_code_y_name_no_vacios","tests.configuration.tax_categories","Fri Nov 07 21:57:32 UTC 2025","skipped","Fri Nov 07 21:57:32 UTC 2025","","test_GET_TaxCatergoryList","",""
"","146","test_TC211_obtener_tax_rate_por_codigo_valido","tests.configuration.tax_rates","Fri Nov 07 21:57:52 UTC 2025","passed","Fri Nov 07 21:57:52 UTC 2025","","test_GET_TaxRates","",""
"","157","test_TC235_actualizar_con_amounts_invalidos[10.0-1000%]","tests.configuration.tax_rates","Fri Nov 07 21:58:07 UTC 2025","passed","Fri Nov 07 21:58:08 UTC 2025","","test_PUT_TaxRates","",""
"","159","test_TC234_actualizar_con_nombres_invalidos_parametrizado[   -solo espacios-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:01 UTC 2025","passed","Fri Nov 07 21:58:01 UTC 2025","","test_PUT_TaxRates","",""
"","150","test_TC231_actualizar_includedInPrice_a_valor_no_booleano","tests.configuration.tax_rates","Fri Nov 07 21:57:59 UTC 2025","passed","Fri Nov 07 21:57:59 UTC 2025","","test_PUT_TaxRates","",""
"","445","test_TC340_eliminar_TaxCategory_doble_eliminacion","tests.configuration.tax_categories","Fri Nov 07 21:57:27 UTC 2025","passed","Fri Nov 07 21:57:28 UTC 2025","","test_DELETE_TaxCategory","",""
"","142","test_TC404_actualizacion_tax_category_con_valores_null","tests.configuration.tax_categories","Fri Nov 07 21:57:46 UTC 2025","passed","Fri Nov 07 21:57:46 UTC 2025","","test_PUT_TaxCategory","",""
"","145","test_TC282_actualizar_grupo_clientes_nombre_muy_largo","tests.customer.groups","Fri Nov 07 21:58:23 UTC 2025","passed","Fri Nov 07 21:58:23 UTC 2025","","test_PUT_CustomerGroup","",""
"","151","test_TC221_verificar_headers_respuesta_tax_rate","tests.configuration.tax_rates","Fri Nov 07 21:57:53 UTC 2025","passed","Fri Nov 07 21:57:53 UTC 2025","","test_GET_TaxRates","",""
"","121","test_TC227_eliminar_tax_rate_con_token_expirado","tests.configuration.tax_rates","Fri Nov 07 21:57:49 UTC 2025","passed","Fri Nov 07 21:57:49 UTC 2025","","test_DELETE_TaxRates","",""
"","145","test_TC255_tax_category_nombre_minimo_length[]","tests.configuration.tax_categories","Fri Nov 07 21:57:35 UTC 2025","passed","Fri Nov 07 21:57:35 UTC 2025","","test_POST_TaxCategory","",""
"","144","test_TC283_actualizar_grupo_clientes_nombre_caracteres_especiales","tests.customer.groups","Fri Nov 07 21:58:23 UTC 2025","passed","Fri Nov 07 21:58:23 UTC 2025","","test_PUT_CustomerGroup","",""
"","141","test_TC197_crear_tax_rate_con_amount_invalido[INVALID_AMOUNT-400-None]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","passed","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","147","test_crear_grupo_clientes_caracteres_especiales_en_nombre[Caracteres raros-Nombre \U0001d306 Test-True]","tests.customer.groups","Fri Nov 07 21:58:21 UTC 2025","skipped","Fri Nov 07 21:58:21 UTC 2025","","test_POST_CustomerGroup","",""
"","138","test_TC221_creacion_sin_nombre_categoria","tests.configuration.tax_categories","Fri Nov 07 21:57:35 UTC 2025","passed","Fri Nov 07 21:57:35 UTC 2025","","test_POST_TaxCategory","",""
"","143","test_TC221_tax_category_nombre_espacio_en_blanco[\n]","tests.configuration.tax_categories","Fri Nov 07 21:57:36 UTC 2025","skipped","Fri Nov 07 21:57:36 UTC 2025","","test_POST_TaxCategory","",""
"","161","test_TC214_verificar_esquema_tax_rate_listado","tests.configuration.tax_rates","Fri Nov 07 21:57:52 UTC 2025","passed","Fri Nov 07 21:57:52 UTC 2025","","test_GET_TaxRates","",""
"","126","test_TC219_verificar_respuesta_token_expirado_tax_rate","tests.configuration.tax_rates","Fri Nov 07 21:57:53 UTC 2025","passed","Fri Nov 07 21:57:53 UTC 2025","","test_GET_TaxRates","",""
